ID,date,warehouse_ID,Latitude,Longitude,Product_Type,year,month,is_weekend,is_warehouse_closed,daily_dispatch_count,weekly_dispatch_count
0x2710,2017-01-01,WH_0x3e9,41.681471,-72.79474599999999,Type_A,2017,January,Yes,No,5.5,5.5
0x33e6,2017-01-01,WH_0x3ea,38.749077,-105.18306000000001,Type_A,2017,January,Yes,No,6.1,6.1
0x2711,2017-01-02,WH_0x3e9,41.681471,-72.79474599999999,Type_A,2017,January,No,No,4.8,
0x33e7,2017-01-02,WH_0x3ea,38.749077,-105.18306000000001,Type_A,2017,January,No,No,6.7,
0x2712,2017-01-03,WH_0x3e9,41.681471,-72.79474599999999,Type_A,2017,January,No,No,5.8,
0x33e8,2017-01-03,WH_0x3ea,38.749077,-105.18306000000001,Type_A,2017,January,,No,8.1,
0x2713,2017-01-04,WH_0x3e9,41.681471,-72.79474599999999,Type_A,2017,January,No,No,6.6,
0x33e9,2017-01-04,WH_0x3ea,38.749077,-105.18306000000001,Type_A,2017,January,No,No,7.0,
0x2714,2017-01-05,WH_0x3e9,41.681471,-72.79474599999999,Type_A,2017,January,No,No,4.9,
0x33ea,2017-01-05,WH_0x3ea,38.749077,-105.18306000000001,Type_A,2017,January,No,,7.4,
0x2715,2017-01-06,WH_0x3e9,41.681471,-72.79474599999999,Type_A,2017,January,No,No,5.9,
0x33eb,2017-01-06,WH_0x3ea,38.749077,-105.18306000000001,Type_A,2017,January,No,No,7.2,
0x2716,2017-01-07,WH_0x3e9,41.681471,-72.79474599999999,Type_A,2017,January,Yes,No,4.6,
0x33ec,2017-01-07,WH_0x3ea,,-105.18306000000001,Type_A,2017,January,Yes,No,5.4,
0x2717,2017-01-08,WH_0x3e9,41.681471,-72.79474599999999,Type_A,2017,January,Yes,No,4.5,37.1
0x33ed,2017-01-08,WH_0x3ea,38.749077,-105.18306000000001,Type_A,2017,January,Yes,No,6.5,48.3
0x2718,2017-01-09,WH_0x3e9,41.681471,-72.79474599999999,Type_A,2017,January,No,No,4.8,
0x33ee,2017-01-09,WH_0x3ea,38.749077,-105.18306000000001,Type_A,2017,January,No,No,6.5,
0x2719,2017-01-10,WH_0x3e9,41.681471,-72.79474599999999,Type_A,2017,January,No,No,4.9,
